0,0
23,1
44,2
89,3
29,4
1,5
38,6
74,7
45,8
56,9
68,10
105,11
55,12
67,13
118,14
72,15
27,16
13,17
60,18
40,19
12,20
66,21
51,22
62,23
125,24
34,25
80,26
49,27
46,28
167,29
111,30
101,31
106,32
22,33
59,34
19,35
104,36
137,37
8,38
11,39
2,40
71,41
102,42
99,43
48,44
5,45
69,46
112,47
110,48
52,49
41,50
17,51
88,52
103,53
100,54
15,55
24,56
133,57
7,58
73,59
107,60
35,61
36,62
26,63
115,64
140,65
139,66
117,67
37,68
28,69
18,70
58,71
33,72
57,73
96,74
92,75
30,76
63,77
50,78
4,79
124,80
3,81
39,82
116,83
6,84
162,85
121,86
94,87
128,88
126,89
